Time,LeftDuration,RightDuration,TotalDuration,Resource
"10/25/17, 4:00 AM",194,,194,Sleep
"10/25/17, 8:19 AM",23,,23,Sleep
"10/25/17, 10:30 AM",61,,61,Sleep
"10/25/17, 11:33 AM",18,,18,Sleep
"10/25/17, 1:34 PM",6,,6,Sleep
"10/25/17, 3:23 PM",17,,17,Sleep
"10/25/17, 4:30 PM",6,,6,Sleep
"10/25/17, 4:59 PM",1,,1,Sleep
"10/25/17, 5:08 PM",57,,57,Sleep
"10/25/17, 6:08 PM",41,,41,Sleep
"10/25/17, 8:15 PM",470,,470,Sleep
"10/26/17, 4:40 AM",122,,122,Sleep
"10/26/17, 8:17 AM",28,,28,Sleep
"10/26/17, 10:06 AM",18,,18,Sleep
"10/26/17, 10:53 AM",33,,33,Sleep
"10/26/17, 12:39 PM",18,,18,Sleep
"10/26/17, 1:14 PM",27,,27,Sleep
"10/26/17, 3:00 PM",21,,21,Sleep
"10/26/17, 3:59 PM",27,,27,Sleep
"10/26/17, 5:44 PM",19,,19,Sleep
"10/26/17, 9:04 PM",241,,241,Sleep
"10/27/17, 1:54 AM",232,,232,Sleep
"10/27/17, 6:47 AM",124,,124,Sleep
"10/27/17, 10:05 AM",29,,29,Sleep
"10/27/17, 12:12 PM",24,,24,Sleep
"10/27/17, 1:54 PM",20,,20,Sleep
"10/27/17, 3:28 PM",23,,23,Sleep
"10/27/17, 5:40 PM",17,,17,Sleep
"10/27/17, 7:41 PM",415,,415,Sleep
"10/28/17, 3:40 AM",227,,227,Sleep
"10/28/17, 8:13 AM",28,,28,Sleep
"10/28/17, 9:46 AM",83,,83,Sleep
"10/28/17, 12:08 PM",64,,64,Sleep
"10/28/17, 2:17 PM",82,,82,Sleep
"10/28/17, 4:29 PM",60,,60,Sleep
"10/28/17, 6:38 PM",36,,36,Sleep
"10/28/17, 8:28 PM",546,,546,Sleep
"10/29/17, 6:03 AM",102,,102,Sleep
"10/29/17, 9:56 AM",27,,27,Sleep
"10/29/17, 12:26 PM",23,,23,Sleep
"10/29/17, 1:01 PM",4,,4,Sleep
"10/29/17, 2:47 PM",22,,22,Sleep
"10/29/17, 4:54 PM",20,,20,Sleep
"10/29/17, 6:59 PM",392,,392,Sleep
"10/30/17, 2:04 AM",178,,178,Sleep
"10/30/17, 5:29 AM",148,,148,Sleep
"10/30/17, 9:04 AM",32,,32,Sleep
"10/30/17, 11:45 AM",26,,26,Sleep
"10/30/17, 2:02 PM",26,,26,Sleep
"10/30/17, 3:31 PM",39,,39,Sleep
"10/30/17, 5:18 PM",8,,8,Sleep
"10/30/17, 5:45 PM",12,,12,Sleep
"10/30/17, 7:44 PM",9,,9,Sleep
"10/30/17, 8:01 PM",4,,4,Sleep
"10/30/17, 8:08 PM",387,,387,Sleep
"10/31/17, 3:02 AM",236,,236,Sleep
"10/31/17, 7:38 AM",45,,45,Sleep
"10/31/17, 9:58 AM",25,,25,Sleep
"10/31/17, 12:05 PM",20,,20,Sleep
"10/31/17, 1:43 PM",15,,15,Sleep
"10/31/17, 3:04 PM",46,,46,Sleep
"10/31/17, 5:45 PM",19,,19,Sleep
"10/31/17, 7:53 PM",309,,309,Sleep
